3
Sol_Invictus Jack Scott Skylar Sheogoth_the_Unborn Paul Christian Julius_Caesar The_Buddha Nate Susu Susu 
1 3 2 3 3 3 2 1 2 4 4 2 
2 2 3 4 3 4 3 2 4 5 1 2 
1 4 3 2 3 2 3 1 4 2 1 4 
4 2 3 5 4 4 3 2 4 2 5 3 
7 2 none 11 14 none 10 8 12 1 15 5 
0 2 1 0 9 6 8 6 11 2 6 3 
5 8 11 1 4 3 1 7 7 10 6 6 
4 -1 -2 1 7 -8 1 2 -1 -7 -7 1 
True False False False True False True False True False False True 
0 0 0 0 0 0 0 0 0 1 1 2 
0 0 0 0 0 0 0 3 0 0 1 2 
1 0 0 0 0 1 0 0 1 0 1 1 
0 0 0 1 0 0 0 0 0 3 0 0 
0 5 5 1 0 5 0 2 0 3 5 0 
False True True True False True False True False True True False 
none none none none none none none none none none none none 
none none none none none none none none none none none none 
none none none none none none none none none none none none 
none none none none none none none none none none none none 
none none none none none none none none none none none none 
none none none none none none none none none none none none 
2 2 2 2 2 2 2 2 2 2 2 2 
2 4 4 4 4 4 3 3 3 4 4 4 
0 0 0 0 0 0 0 0 0 0 0 0 
0 2 1 3 2 2 0 2 1 0 0 0 
True True False True False True True False True True True False 
0 0 0 0 0 0 0 0 0 0 0 0 
